pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_insol,discoverymethod,hostname
K2-281 b,8.18,,8.687721,0.0773,,Transit,K2-281
K2-281 b,8.1,,8.687708,,,Transit,K2-281
K2-281 b,7.36,,8.687812,,,Transit,K2-281
K2-387 b,8.22,,28.7342,,,Transit,K2-387
K2-387 b,4.0,,28.735998,,,Transit,K2-387
K2-387 b,7.322,,28.735327,,,Transit,K2-387
Kepler-197 b,,,5.59934848,,,Transit,Kepler-197
Kepler-197 b,1.15,,5.59931973,,,Transit,Kepler-197
Kepler-197 b,1.22,,5.59931543,0.0596,402.39,Transit,Kepler-197
Kepler-197 b,,,5.59931543,,,Transit,Kepler-197
Kepler-197 b,1.289,,,,431.256,Transit,Kepler-197
Kepler-197 b,1.18,,5.59935,0.059,,Transit,Kepler-197
Kepler-197 b,1.07,,5.59931973,0.0601,403.88,Transit,Kepler-197
Kepler-197 b,1.112,,5.59931973,0.0586170065,,Transit,Kepler-197
Kepler-197 b,1.02,,5.599308,0.06,,Transit,Kepler-197
Kepler-197 b,1.07,,5.59931973,0.0601,403.88,Transit,Kepler-197
Kepler-197 b,1.112,,5.59931973,0.05863,441.1,Transit,Kepler-197
Kepler-197 b,1.064,,5.599293,,,Transit,Kepler-197
Kepler-197 b,1.07,,5.59931973,0.0601,403.88,Transit,Kepler-197
K2-156 b,1.15,,0.81314,0.0149,,Transit,K2-156
K2-156 b,1.14414279,,0.813149,,,Transit,K2-156
K2-156 b,1.1,,0.813143,,,Transit,K2-156
K2-157 b,1.05548088,,0.365257,,,Transit,K2-157
K2-157 b,0.935,1.14,0.3652575,0.00962,6660.0,Transit,K2-157
K2-157 b,1.0,,0.365261,,,Transit,K2-157
K2-158 b,2.63456976,,10.062106,,,Transit,K2-158
K2-158 b,2.64,,10.06049,0.0887,,Transit,K2-158
K2-244 b,1.75,,21.06884,0.1418,,Transit,K2-244
K2-244 b,1.65007129,,21.070201,,,Transit,K2-244
Kepler-108 c,8.15,,190.3216564,0.7235,9.65,Transit,Kepler-108
Kepler-108 c,7.78,,190.3200468,0.6972,7.8,Transit,Kepler-108
Kepler-108 c,7.8,,190.3216564,,,Transit,Kepler-108
Kepler-108 c,3.4,,190.3134,0.622,,Transit,Kepler-108
Kepler-108 c,,,190.321800413,,,Transit,Kepler-108
Kepler-108 c,8.15,,190.3216564,0.7235,9.65,Transit,Kepler-108
Kepler-108 c,,,190.3200468,,,Transit,Kepler-108
Kepler-108 c,8.18,,190.323494,0.721,,Transit,Kepler-108
Kepler-108 c,,,190.32084285,,,Transit,Kepler-108
Kepler-108 c,8.23,,190.3214,,,Transit,Kepler-108
Kepler-108 c,8.15,,190.3216564,0.7235,9.65,Transit,Kepler-108
K2-159 b,2.20753881,,12.421078,,,Transit,K2-159
K2-159 b,2.26,,12.42205,0.1013,,Transit,K2-159
K2-160 b,3.17824034,,3.705871,,,Transit,K2-160
K2-161 b,6.11721229,,9.283188,,,Transit,K2-161
K2-162 b,1.44,,9.45889,0.0795,,Transit,K2-162
K2-162 b,1.48630496,,9.457747,,,Transit,K2-162
